3001,销售代表,Sales Representative / Executive
3004,销售工程师,Sales Engineer
3009,大客户销售,Key Account Sales
3005,电话销售,Telesales
3014,区域销售代表,Regional Sales Representative
3002,渠道/分销专员,Channel/Distribution Representative
3010,网络销售/在线销售,Online Sales
3016,门店销售,Outlets Sales
3003,客户代表,Sales Account Representative
3015,海外销售,Overseas Sales
3013,直播销售,Live Sales
3017,地推专员,Ground Push Commissioner
1329,医美咨询,Medical Beauty Consultant
3008,团购业务员,Group Purchase Representative
3006,经销商,Distributor
1340,医学顾问,Medical Consultant
3011,会籍顾问,Membership Consultant
4924,旅游顾问,Travel Consultant
0203,销售主管,Sales Supervisor
0202,销售经理,Sales Manager
0201,销售总监,Sales Director
0236,区域销售主管,Regional Sales Supervisor
0226,区域销售经理,Regional Sales Manager
0230,区域销售总监,Regional Sales Director
0220,渠道/分销主管,Channel/Distribution Supervisor
0207,渠道/分销经理,Channel/Distribution Manager
0233,渠道/分销总监,Channel/Distribution Director
0232,业务拓展经理/主管,Business Development Supervisor/Manager
0235,大客户管理,Key Account Management
0208,客户经理/主管,Sales Account Manager/Supervisor
4111,医药销售经理/主管,Pharmaceutical Sales Manager
4125,医疗器械销售经理/主管,Medical Equipment Sales Manager/Supervisor
0237,城市经理,City Manager
6009,房地产销售经理/主管,Real Estate Sales Manager/Supervisor
0234,团购经理/主管,Group Purchase Manager/Supervisor
A0LK,客服经理,Customer Service Manager
3203,客服主管,Customer Service Supervisor
3210,客户关系经理/主管,Customer Relations Management
A0L6,客服专员/助理,Customer Service Executive/Assistant
3213,网络/在线客服,Online Customer Service
3208,电话客服,Customer Hot Line/Call Center Staff
6104,网店客服,Online Shop Customer Service
6006,房地产客服,Real Estate Customer Service
3012,销售助理,Sales Assistant
3103,商务经理,Business Manager
3105,商务助理,Business Assistant
3110,商务主管,Commercial Director
3111,商务专员,Commercial Specialist
3101,销售行政经理/主管,Sales Admin. Manager/Supervisor
3106,销售行政助理,Sales Assistant / Trainee
3102,销售行政专员,Sales Admin. Executive
3108,业务分析经理/主管,Business Analysis Manager/Supervisor
3109,业务分析专员/助理,Business Analysis Specialist/Assistant
4122,招投标管理,Tendering Coordinator
4608,房地产项目招投标,Real Estate Tender /Bidding
4125,医疗器械销售经理/主管,Medical Equipment Sales Manager/Supervisor
4114,医疗器械销售代表,Medical Equipment Sales
4113,医疗器械市场推广,Medical Equipment Marketing
4111,医药销售经理/主管,Pharmaceutical Sales Manager
4112,医药代表,Pharmaceutical Representative
4120,医药招商,Pharmaceutical Business Development
4126,医药学术推广,Pharmaceutical Academic Promotion
4109,药品市场推广经理,Pharmaceutical Marketing Manager
4140,药品市场推广主管,Director of Drug Marketing
4139,药品市场推广专员,Drug Marketing Specialist
6010,房地产销售专员,Real Estate Sales
6001,房地产中介/置业顾问,Real Estate Agent/Property Consultant
6009,房地产销售经理/主管,Real Estate Sales Manager/Supervisor
6004,房地产店长/经理,Real Estate Branch Manager
5105,促销员/导购员,Promotion Specialist
4924,旅游顾问,Travel Consultant
0310,促销经理,Promotion Manager
5001,美容顾问,Beauty Advisor
5014,专柜彩妆顾问(BA),Cosmetic consultant
5115,奢侈品业务,Luxury Business
5116,珠宝销售顾问,Jewelry Sales Consultant
5117,促销主管/督导/巡店,Supervisor/Shop Visit
5123,导购管理,Shopping Guide Management
6401,健身顾问,Fitness Consultant
8101,课程顾问,Course Consultant
8102,招生老师,Admissions
8104,留学顾问,Overseas-study Consultant
5903,汽车销售/经纪人,Automotive Sales Consultant / Brokers
5921,汽车服务顾问,Automotive Service Consultant
5916,汽车金融销售,Automotive Finance Sales
5919,二手车经纪人,Used Car Broker
3315,金融产品销售,Financial Product Sales
3326,理财顾问,Financial Advisor
3317,机构业务销售,Institutional Sales
5916,汽车金融销售,Automotive Finance Sales
8403,售前技术支持经理/主管,Pre-sales Technical Support Manager/Supervisor
8404,售后技术支持经理/主管,After-sales Technical Support Manager/Supervisor
8401,售前技术支持工程师,Pre-sales technical support engineer
8402,售后技术支持工程师,After-sales technical support engineer
1D01,解决方案经理,Solution Manager
A0JQ,软件工程师,Software engineer
0121,java,java
A0JR,C/C++,C/C++
0153,C#,C#
0126,.NET,.NET
0152,Golang,Golang
0124,Python,Python
0120,PHP,PHP
0158,Node.js,Node.js
0154,全栈工程师,Full Stack Engineer
0143,架构师,Software architect
0130,数据开发,Data development
0133,语音/视频/图形开发,Voice/Video/Graphics Development
0155,GIS工程师,GIS Engineer
A0JS,需求工程师,Requirements Engineer
0128,区块链开发,Blockchain Development
A0LA,IT技术支持,Technical Support/Maintenance Engineer
A0L9,运维工程师,Operation Engineer
7915,运维开发,Operation Development
7920,自动化运维工程师,Automation Operation Engineer
A0LB,网络工程师,Network Engineer
7905,ERP实施顾问,ERP Implementation
7902,系统工程师,System Engineer
